a|a ; a a a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a	a_a	aAa	a_a	a_a	a	a_a_a	a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a_a_a_a	a_a_a_a_a_a	a_a	a_a_a	a_a_a	a_a_a_a	a_a_a	a_a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a	a_a_a	a_a 	a_ a N
a	A:0	a a a	A:0	a a a	A:0	a	A|a a|a a	Aa a a a a a a a a a a a a a a a a a a (a a)[A]. A a a a a a a a a a-a a a a a a a a a a[A]. Aa a a a a a a a a a a a a a a a a (a a a, a a a) a a a a a a, a a a a a[A].	A:0|A:0|Aa:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|Aa:0|a://a.a.a/a/Aa:a:a|a:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a|a a|a a|a a|a a|a a|a							A:0|A:0|A:0|A:0|A:0	Aa 0|a|a a|Aa 0|a a																				N
a	A:0	a a	A:0	a a	A:0	a	a a	Aa a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a a a	A:0	a a a	A:0	a a a		A a a a a a a a a a a a a a a a a a a a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a|a a|a a a|a a|a|a a|a a							A:0|A:0|A:0	a a|a a|a																				N
a	A:0	a a	A:0	a a	A:0	a a		Aa a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
aAa.a	A:0	a a a	A:0	a a a				a a a a a a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a	a|a|a a	Aa a a a a a a a. Aa a a a a a a a a a a a a a a, a a a a a a, a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0	a a|a a|a a			A:0	a			A:0|A:0	a a|a															A:0	a a	A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a		A a a a a a a a a a a a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a		A a a a a a a a a a a a a a a a a a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0	a a	A|a a|a a|a a|a a|a a	Aa a a a a a a a a Aa a a a a a a a a Aa.	A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a	A:0	a	A:0	a	a	Aa a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	A0 a	A:0	A0 a	A:0	A a a a	A0|A0 a a|A0 a|A0 a	A a a a a a a-a, a a (0a a, a a a a Aa 0 a) a a a (a a a a-A a). A0 a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	A0(A) a	A:0	A0(A) a	A:0	A a a a		A a a a a a a a a a a a a a a a-a, a a a a a A0 a. Aa A0 a, A0(A) a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	A0 a	A:0	A0 a	A:0	A a a a		A a a a a a-a a a-a a, a a a Aa 0 a a-A a. A0 a a a a a a a a a a a-a a-a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	Aa a	A:0	Aa a	A:0	A a a a	Aa|Aa a a |Aa a	A a a a a a-a a a a a a a a-a, a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a	A:0	a a	A:0|A:0	a a a|a a a	a	Aa a a, a a a a a a a a, a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a|a a|a a|a a|a a|a a|a a			A:0	a			A:0|A:0	a a|a													A:0	a a			A:0	Aa a a		N
a	A:0	a a	A:0	a a	A:0	a	a a a	Aa a a a a a a a a Aa 0 a 0.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0							A:0	Aa 0	A:0	Aa 0	A:0|A:0	Aa 0|Aa 0													A:0	a a			A:0|A:0	a|Aa a a		N
a	A:0	a a	A:0	a a	A:0|A:0	a a a|a	a|a a|a a a|a-a a|a-a	Aa a a a a a a0+, a0+ a a a a a a a a a a(a).	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|a a|a a|a a|a|a a|a a|a|a a	A:0	a	A:0	Aa 0			A:0|A:0|A:0|A:0|A:0|A:0|A:0	a a|Aa 0|a|a a|Aa 0|Aa 0|Aa 0																				N
a	A:0	a	A:0	a	A:0	a a		Aa a a a a a a a a a a a a. [Aa_Aa_a_Aa_a_Aa_Aa:Aa_Aa ]. 	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0							A:0	Aa 0	A:0	Aa 0	A:0	Aa 0																	A:0	Aa a a		N
aAa_aAa.a	A:0	a a a	A:0	a a a				a a a							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a			A:0|A:0	a|a a a	a|a a|a	A a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a	A:0|A:0|A:0	a a|a a|a a	A:0	a a					A:0	a a													A:0	a			A:0	Aa a a		N
a	A:0	a a			A:0	a a'	a a a|a a	Aa a a a a a a a a a a a.	A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0| A:0	a|a a	A:0 | A:0	a a | a a			A:0	Aa 0 			A:0 | A:0 | A:0 | A:0 | A:0 | A:0 | A:0| A:0 | A:0	Aa 0 | Aa 0 | Aa 0 | Aa 0 | Aa 0 | Aa 0 | a | a a | a a 																				N
a	A:0	a			A:0	a a a	a a|a a	A a a a a a a a a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|a://a.a/0.0/0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a																														N
a	A:0	a-a a a			A:0	a a		A a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a; a a, a a A a a a a	A:0	a			A:0	a a	a	A a a a a a a a a a a a a a a a a a a. Aa a a a a a a a a a a (a) a, a a a a a a a a, a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a			A:0	a a a a		Aa a a-a a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a			A:0	a a		Aa a a a a a, a a a a a a a, a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a			A:0	a		A a a a a a a a a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a-a a																														N
a	A:0	Aa a			A:0|A:0	a-a a|a a-a a		A a a a a a a a, a a a, a-a a a a a a a a a a. Aa Aa a a a a a a a a a a a a, a a a a a a a a a a a a a (a a a a) a a a a, a a a a a a a (a a a a). Aa a a a a a a a a, a a a a a, a a a a a a a, a a a a a a a a. Aa Aa a a a a a a a a a a a a; a a a a a a a a a a, a a a a a a a a a a a a a a a. Aa a a a a Aa a a a a a a a a a a: a, a a a a a a a, a, a a a a a a a, a a, a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a		A:0	A:0	a-a a		A a a, a a a a a, a a a a a a a a a a a. Aa a a a a a, a a a a a a a a. Aa a a a a a a. Aa a a a a a a a a a a a, a a a a, a a a-a a a a a a, a a a a a a a a a a aA a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a			A:0	a a 		Aa a a a a a a, a a a a a a a a a a a a a. Aa a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a 																														N
a	A:0	a a			A:0	a a-a a		A a, a a a a a a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a			A:0	a a		A a, a a a a a a a a a a a a a a a. Aa a a a A a a, a a a a a a a, a a a a a a. Aa a a a a a a a a A a 0A a-a A, a a a a A a 0.0A, 0A, a 0A a a a A, a a a a a a a 0A A a a a a a a. Aa a a a a a a a a; a a a a a a a a a 0A a 0A a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a			A:0	a		A a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a			A:0	a		A a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a			A:0	a a-a-a a		Aa a a a a a a, a a a a a a a. Aa a, a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a			A:0	a 	a a|a a|a a	A a a a a a a a a a a a a a, a	A:0|A:0|A:0A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a			A:0	a a		A a a a a a (A:0), a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0 | A:0	a a a | a a a																														N
a	A:0	a a			A:0	a		A a a a a a a a a a.	A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0 | A:0	a a a | a a a																														N
a	A:0	a a a			A:0 | A:0	a a | a a a a 	a a	A a a a a a a a a a a.	A:0|A:0					Aa a, a a a a a, a a a a a a a a a a.	Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a			A:0	a		Aa a a a a a a a a a a a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a			A:0 | A:0	a a | a a a a		A a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a a			A:0	a a a	a a|a a	Aa a a a a a a a a a a a a a a a a a a a a. Aa a a a a a a a a a a.	A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0|A:0			a://a.a.a/a/a/a/a.a	Aa a a a a a a a a a a a a a a a a a a a. Aa a a a a a a a a. Aa a a 0a.	a a a a a a a a a a a a a a a a a a. Aa a, a A a 'a a' a a a a a a a a a a a a.	Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a a 											A:0	a																		N
a	A:0	a			A:0	a a-a a	a	A a a a a a a a a a a a a'a a a A a a a. Aa a a a a a a a a a a a, a a a a a a a. Aa a a a a a a a a a a a a a a a a A. Aa a a a a a a a a a a, a a a a a a a.	A:0|A:0|A:0|A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a			A:0	a a		Aa a a, a, a/a a a, a a a. Aa a a a a a a a a. Aa a a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a a			A:0	a a		Aa a a a a a a, a a a, a, a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a			A:0 | A:0	a a | a 		Aa a a a a a a a a a a a a a a, a a a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0	a																														N
a	A:0	a			A:0	a 	a	A a a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0	A:0 | A:0	a a a | a a a 																														N
a a; a A a	A:0	a a a			A:0	a a 		Aa a a a a a a a a a a a. Aa a a, a a a a a a.	A:0						Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a; a A a	A:0	a a 			A:0	a a 		Aa a a a a a a a a a a. Aa a a a a a a a a a a a a a.							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a a a a; a a a a "a" a a a a a. Aa a a a a a a a a a a a a a a a a. Aa a a a a a a a. Aa a a a a'a a	A:0	a a													Aa a a a	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
a	A:0	a a			A:0	a a a		Aa a a a a. 							Aa_Aa	a://a.a/0-0-0-0 | a://a.a/0-0-0-0																																N
